conceptual_relation_id,source_table,source_column,target_object_type,target_property,mapping_type,direction,evidence_source,evidence_sha256,evaluation_scope
saved-01,작전명령,applies_rule,교전규칙,rule_id,positive-only,directed,link_management_screenshot,1eb62cb5b2ed483c7139d2bc187b67d97bacede5e5c11e0c4eae37b51c6f70cd,positive_only
saved-02,작전명령,issued_to_unit,아군_부대,unit_id,positive-only,directed,link_management_screenshot,1eb62cb5b2ed483c7139d2bc187b67d97bacede5e5c11e0c4eae37b51c6f70cd,positive_only
saved-03,작전명령,target_terrain,지형_정보,terrain_id,positive-only,directed,link_management_screenshot,1eb62cb5b2ed483c7139d2bc187b67d97bacede5e5c11e0c4eae37b51c6f70cd,positive_only
saved-04,아군_부대,operation,적군_부대,operation,positive-only,bidirectional,link_management_screenshot,1eb62cb5b2ed483c7139d2bc187b67d97bacede5e5c11e0c4eae37b51c6f70cd,positive_only
saved-04,적군_부대,operation,아군_부대,operation,positive-only,bidirectional_reverse,link_management_screenshot,1eb62cb5b2ed483c7139d2bc187b67d97bacede5e5c11e0c4eae37b51c6f70cd,positive_only
